ID,Kategori,Nama_Produk,Teks_Review
1,Elektronik,TWS Bluetooth F9,Suaranya mantul bass nendang banget harga segini worth it parah.
2,Fashion,Kemeja Flannel Pria,Bahannya agak tipis ya tidak sesuai ekspektasi tapi pengiriman cepat.
3,Kecantikan,Serum Wajah Glowing,Baru coba 3 hari belum ada perubahan semoga cocok makasih seller.
4,Rumah Tangga,Rak Piring Stainless,Penyok dikit pas nyampe mungkin dari ekspedisinya tapi fungsi aman.
5,Elektronik,Kabel Data Type C,Fast charging berfungsi dengan baik original makasih gan.
6,Makanan,Baso Aci Pedas,Enak banget pedesnya nampol cuma pengiriman agak lama nyampenya 4 hari.
7,Fashion,Sepatu Sneakers Putih,Ukuran 40 nya kekecilan saran naik satu size kalo mau beli.
8,Otomotif,Helm Bogo Retro,Kaca helm baret dikit tolong lebih teliti lagi QC nya sebelum kirim.
9,Elektronik,Powerbank 10000mAh,Berat banget powerbanknya tapi emang awet sih buat ngecas berkali kali.
10,Kesehatan,Masker Medis 3 Ply,Barang sesuai pesanan packing rapi aman pake bubble wrap tebel.
11,Fashion,Tas Selempang Wanita,Jahitannya kurang rapi ada benang keluar keluar kecewa sih.
12,Elektronik,Mouse Wireless Silent,Beneran silent click enak dipake kerja malem2 ga berisik recommended.
13,Hobi,Gundam HG Barbatos,Box penyok parah untung isinya aman tolong packingnya diperbaiki.
14,Kecantikan,Lipstik Matte,Warnanya cantik banget tahan lama dipake makan gorengan ga ilang.
15,Rumah Tangga,Lampu Tidur LED,Terang banget buat lampu tidur silau ga bisa dipake tidur jadinya.
16,Elektronik,Keyboard Mechanical,Switch biru berisik banget tapi enak buat ngetik feelnya dapet.
17,Fashion,Celana Chino Panjang,Bahan melar nyaman dipake buat harian seller juga ramah banget.
18,Makanan,Keripik Kaca Pedas,Rasanya biasa aja micinnya kebanyakan bikin batuk.
19,Ibu & Bayi,Popok Bayi XL,Selalu langganan disini pengiriman kilat pesen pagi sore sampe.
20,Elektronik,Speaker Bluetooth,Koneksi sering putus nyambung ga stabil nyesel beli.
21,Kecantikan,Sunscreen SPF 50,Teksturnya lengket banget di muka ga nyaman dipake panas2an.
22,Otomotif,Sarung Tangan Motor,Bahannya adem ga licin pas megang stang mantap jiwa.
23,Rumah Tangga,Sapu Lantai Nilon,Bulunya gampang rontok baru dipake seminggu udah botak.
24,Elektronik,Headset Gaming RGB,Lampu RGB nya mati sebelah minta tuker ga direspon chatnya.
25,Fashion,Jam Tangan Analog,Keren sih modelnya elegan cocok buat kondangan harga bersahabat.
26,Kesehatan,Vitamin C 1000mg,Exp date masih lama packing aman sentosa makasih min.
27,Elektronik,Laptop Cooling Pad,Kipasnya kenceng lumayan bikin laptop ga overheat pas main game.
28,Makanan,Kopi Arabika Gayo,Aromanya harum banget rasanya pas ga terlalu asem cocok buat ngopi pagi.
29,Fashion,Jaket Bomber Polos,Resleting macet susah dibuka tolong dicek dulu dong sebelom kirim.
30,Kecantikan,Toner Wajah,Botolnya pecah pas sampe isinya tumpah semua tolong refund dana saya.
31,Rumah Tangga,Blender Portable,Kecil kecil cabe rawit bisa buat ngejus buah naga smooth banget.
32,Elektronik,Smartwatch Murah,Baterai boros banget cuma tahan 2 jam padahal ga dipake apa apa.
33,Hobi,Novel Terjemahan,Bukunya original segel rapi dapet bonus bookmark lucu makasih ya.
34,Fashion,Dompet Kulit Pria,Bau kulitnya kerasa banget asli nih bukan kaleng kaleng.
35,Otomotif,Oli Mesin Motor,Barang ori scan barcode tembus aman buat mesin motor kesayangan.
36,Elektronik,Earphone Kabel,Kabelnya tipis banget takut gampang putus kalo ketarik dikit.
37,Kecantikan,Mascara Waterproof,Susah dibersihinnya padahal udah pake oil remover tetep nempel.
38,Rumah Tangga,Timbangan Badan Digital,Angkanya berubah ubah ga akurat masa nimbang 3x hasilnya beda semua.
39,Makanan,Frozen Food Sosis,Sampai dalam keadaan masih beku pengiriman sameday emang juara.
40,Fashion,Topi Baseball,Bordirannya rapi topi kokoh ga letoy mantap gan.
41,Elektronik,Hardisk Eksternal 1TB,Transfer data cepet banget ga pake lemot puas belanja disini.
42,Kesehatan,Termometer Digital,Ga bisa nyala padahal udah ganti baterai baru barang rusak dikirim.
43,Rumah Tangga,Gorden Jendela Polos,Warnanya beda sama di foto aslinya lebih gelap sedikit kecewa.
44,Ibu & Bayi,Susu Formula,Harga termurah se tokopedia expired aman packing kardus tebal.
45,Elektronik,Microphone Clip On,Suara kresek kresek ga jernih ga bisa dipake buat vlog.
46,Fashion,Sandal Jepit Karet,Empuk banget dipakenya ga bikin kaki sakit buat jalan jauh.
47,Kecantikan,Sheet Mask Aloe Vera,Adem banget dimuka bikin lembab cocok buat kulit kering.
48,Otomotif,Kampas Rem Depan,Paket belum sampai status sudah diterima gimana ini kurirnya ngawur.
49,Makanan,Coklat Batangan,Meleleh pas sampe karena kepanasan di jalan tapi rasanya tetep enak.
50,Hobi,Pakan Kucing Dry Food,Kucing saya suka banget langsung lahap makannya harga juga miring.
51,Elektronik,Tripod HP,Ringkih banget kena angin dikit langsung jatoh untung hp ga pecah.
52,Fashion,Rok Plisket,Lipitannya rapi bahan jatuh ga nerawang bagus banget sumpah.
53,Rumah Tangga,Wajan Anti Lengket,Beneran anti lengket masak telor ga pake minyak bisa dong.
54,Kecantikan,Parfum Wanita,Wanginya nyengat banget bikin pusing ga soft kayak deskripsi.
55,Elektronik,Charger Laptop Asus,Adaptor panas banget pas dipake takut meledak ngeri.
56,Kesehatan,Hand Sanitizer 5L,Murah meriah dapet banyak wangi alkoholnya strong banget tapi gapapa.
57,Fashion,Kaos Kaki Motif,Lucu banget motifnya bahannya juga tebel ga gampang melar.
58,Makanan,Mie Instan Dus,Remuk semua isinya dibanting banting kayaknya sama kurir sedih.
59,Elektronik,Flashdisk 32GB,Kapasitas real cuma 29GB standar lah pengiriman standar juga.
60,Rumah Tangga,Setrika Uap,Airnya bocor terus pas dipake baju malah jadi basah semua.
61,Ibu & Bayi,Baju Bayi Jumper,Bahannya lembut banget aman buat kulit bayi sensitif makasih seller.
62,Kecantikan,Lulur Mandi,Wanginya enak bikin rileks kulit jadi halus abis pake ini.
63,Elektronik,Action Camera 4K,Gambar burem ga 4K ini mah 480p penipuan publik.
64,Fashion,Sweater Hoodie,Ukuran L nya gede banget kayak XXL tenggelem badan gue.
65,Otomotif,Cairan Pembersih Jamur,Ampuh banget jamur di kaca mobil ilang seketika kinclong lagi.
66,Hobi,Senar Gitar Akustik,Suaranya cempreng gampang putus baru distem udah putus satu.
67,Rumah Tangga,Kotak Makan Siang,Tutupnya rapet ga bocor walaupun diisi sayur berkuah mantap.
68,Makanan,Sambal Roa Botolan,Minyaknya banyak banget isinya dikit ga sebanding sama harganya.
69,Elektronik,Mousepad Gaming,Luas banget bahannya licin enak buat main FPS ga seret.
70,Kecantikan,Bedak Tabur,Warna natural beige nya keputihan di kulit sawo matang jadi abu abu.
71,Fashion,Tas Ransel Laptop,Resleting utama dol baru dipake seminggu kualitas buruk.
72,Kesehatan,Minyak Kayu Putih,Barang original wangi khas packing aman ga tumpah.
73,Elektronik,Converter HDMI to VGA,Berfungsi normal gambar jernih solusi buat proyektor jadul.
74,Rumah Tangga,Dispenser Galon Bawah,Pompa berisik banget pas nyedot air ganggu ketenangan.
75,Hobi,Mainan Diecast Mobil,Detailnya bagus cat rapi kolektor item banget ini sih.
76,Fashion,Gamis Syari,Bahan panas ga nyerap keringat gerah dipake siang siang.
77,Makanan,Kue Kering Nastar,Nastarnya lembut selainya banyak ga pelit enak banget woi.
78,Elektronik,Kipas Angin Mini,Anginnya kenceng lumayan buat ngadem di angkot baterai awet.
79,Kecantikan,Pensil Alis Brown,Keras banget pensilnya sakit pas dipake ngebingkai alis.
80,Otomotif,Karpet Mobil Karet,Bau karetnya nyengat banget bikin mual di dalem mobil.
81,Rumah Tangga,Jemuran Baju Alumunium,Rakitnya susah banget petunjuknya ga jelas bikin emosi.
82,Elektronik,Webcam HD,Gelap banget gambarnya harus pake lampu sorot baru keliatan muka.
83,Fashion,Ikat Pinggang Kulit,Kepanjangan tapi bisa dipotong sendiri kulitnya bagus tebal.
84,Ibu & Bayi,Gendongan Bayi,Nyaman dipake ga bikin pundak sakit anak juga anteng digendong.
85,Kesehatan,Suplemen Kulit,Segel rusak tutup botol udah kebuka ngeri mau minumnya buang aja lah.
86,Elektronik,Stop Kontak 4 Lubang,Plastiknya ringkih colokan oblak ga gigit takut konslet.
87,Makanan,Madu Hutan Asli,Manisnya pas ga bikin serik di tenggorokan asli nih kayaknya.
88,Hobi,Cat Air 12 Warna,Warnanya vivid gampang dicampur cocok buat pemula kayak saya.
89,Fashion,Batik Pria Lengan Panjang,Motifnya nyambung jahitan rapi keliatan mewah harga murah.
90,Rumah Tangga,Ember Lipat Portable,Bocor alus pas diisi air penuh percuma ga bisa dipake.
91,Kecantikan,Scrub Bibir,Butirannya kasar banget bikin bibir lecet perih jadinya.
92,Elektronik,Wifi Extender,Sinyal tetep lemot ga ngebantu sama sekali buang duit doang.
93,Otomotif,Cover Motor Waterproof,Beneran anti air motor ditinggal ujan ujanan tetep kering aman.
94,Fashion,Kacamata Hitam,Frame miring sebelah ga presisi dipakenya jadi aneh.
95,Makanan,Teh Hijau Celup,Rasanya seger paitnya pas enak diminum anget anget.
96,Rumah Tangga,Pisau Dapur Set, tajem banget ati ati pas make motong daging kayak motong tahu.
97,Elektronik,Printer Inkjet,Tinta boros banget baru ngeprint dikit indikator udah low.
98,Kecantikan,Hair Tonic Ginseng,Rambut rontok berkurang banyak wangi ginsengnya juga enak.
99,Hobi,Puzzle 1000 Pcs,Potongannya rapi interlockingnya bagus seru buat ngisi waktu luang.
100,Fashion,Jaket Jeans Denim,Bahan tebal warnanya solid kancingnya kuat ga nyesel beli disini.
